src_employee,dst_employee,weight
E00717,E00784,0.18
E01091,E00086,0.67
E00970,E01193,0.5
E00635,E00892,0.7
E01161,E01073,0.38
E00133,E00625,0.83
E00589,E00902,0.27
E01192,E00074,0.96
E01093,E00262,0.9
E00371,E00091,0.2
E00905,E00119,0.25
E00981,E00924,0.59
E00664,E00890,0.2
E00357,E00875,0.4
E00309,E00067,0.36
E00337,E00264,0.59
E01022,E01189,0.12
E00408,E00234,0.9
E00945,E01189,0.2
E00598,E00176,0.32
E00702,E00831,0.15
E01050,E00827,0.51
E00420,E00895,0.27
E00048,E01066,0.74
E00946,E00060,0.97
E00850,E00189,0.54
E00953,E01200,0.2
E01003,E00387,0.92
E00995,E00794,0.83
E00507,E00646,0.72
E00612,E00387,0.86
E01126,E00563,0.15
E00223,E00785,0.93
E00635,E00434,0.37
E01018,E00802,0.47
E01103,E01137,0.52
E00639,E00243,0.6
E00809,E00320,0.96
E00864,E00781,0.18
E00894,E01098,0.72
E00836,E00582,0.87
E00407,E00067,0.12
E00705,E00541,0.85
E00461,E00446,0.96
E00771,E00902,1.0
E00723,E00511,0.51
E00992,E00224,0.41
E00470,E00836,0.76
E00356,E00090,0.9
E00996,E00932,0.28
E00720,E00378,0.25
E00879,E01124,0.7
E01187,E00516,0.92
E00277,E00922,0.51
E00694,E00789,0.3
E00652,E00562,0.82
E00818,E00540,0.11
E00637,E00398,0.22
E01002,E00344,0.33
E00752,E00932,0.35
E00540,E00273,0.11
E00820,E00222,0.37
E01083,E00203,0.43
E00076,E00473,0.95
E00895,E00725,0.33
E00258,E00174,0.54
E01012,E00066,0.14
E00576,E00856,0.69
E00560,E00481,0.65
E01193,E01014,0.55
E00965,E01171,0.27
E00253,E00353,0.52
E01161,E01194,0.57
E00462,E00807,0.19
E00870,E00944,0.85
E00938,E01149,0.55
E01142,E00896,0.92
E00698,E00083,0.89
E00213,E01090,0.22
E00812,E00178,0.25
E00259,E00731,0.39
E00132,E00314,0.2
E00813,E00123,0.98
E00834,E00949,0.32
E00207,E00908,0.92
E00754,E00578,0.43
E00805,E01011,0.98
E01010,E00057,0.64
E01127,E00334,0.15
E00271,E00092,0.77
E00194,E01134,0.78
E00708,E00487,0.9
E00576,E00712,0.6
E01168,E00527,0.89
E00995,E00983,0.58
E00409,E00876,0.11
E00369,E00701,0.44
E00044,E00831,0.7
E00325,E00002,0.81
E00069,E00545,0.88
E00806,E00786,0.29
E01192,E00203,0.78
E00769,E00767,0.11
E00627,E00204,0.46
E00249,E00815,0.89
E00610,E00180,0.11
E00400,E00976,0.97
E01097,E00076,0.18
E00125,E00126,0.36
E00829,E00548,0.61
E00345,E00063,0.24
E00697,E00299,0.29
E01012,E01078,1.0
E00246,E00241,0.61
E01027,E01199,0.46
E00661,E01029,0.73
E00973,E00311,0.17
E00061,E00758,0.67
E00991,E00398,0.5
E01193,E00083,0.97
E00077,E00652,0.62
E00254,E01099,0.13
E01198,E00454,0.5
E00519,E00864,0.4
E00457,E01055,0.52
E00474,E00846,0.33
E00613,E01105,0.66
E00920,E00116,0.47
E00666,E00683,0.29
E01080,E00442,0.92
E00944,E01122,0.3
E00126,E00061,0.38
E00843,E00609,0.1
E00377,E01006,0.77
E00910,E00933,0.74
E01186,E00103,0.18
E00343,E01190,0.92
E00959,E00780,0.18
E00654,E00618,0.87
E00488,E00576,0.42
E00415,E01071,0.33
E00700,E00958,0.93
E00868,E00732,0.24
E00796,E00033,0.52
E01092,E00230,0.3
E00341,E01116,0.53
E01019,E00749,0.51
E00381,E00222,0.84
E00874,E00889,0.97
E00081,E00569,0.4
E00081,E00857,0.7
E00802,E00866,0.29
E00867,E01065,0.45
E00202,E01140,0.49
E00442,E01034,0.2
E00977,E00466,0.68
E00249,E00435,0.56
E00076,E00488,0.54
E00543,E00550,0.28
E00974,E00860,0.49
E00793,E01067,0.64
E00922,E00353,0.25
E00830,E00647,0.12
E00562,E01066,0.99
E00651,E01142,0.47
E00783,E00787,0.23
E00182,E00366,0.16
E00626,E00101,0.33
E00544,E00609,0.41
E00723,E01009,0.18
E00063,E01073,0.96
E00492,E00893,0.84
E00579,E00396,0.95
E00922,E00257,0.25
E01144,E00253,0.17
E00518,E01195,0.32
E00060,E00354,0.33
E00184,E00529,0.52
E00446,E00614,0.17
E00084,E01107,0.23
E01084,E00321,0.8
E01097,E00074,0.41
E00259,E00014,0.72
E00311,E00662,0.71
E00257,E00231,0.34
E01100,E00239,0.95
E00105,E00532,0.31
E00440,E00331,0.59
E01010,E00701,0.29
E01030,E00771,0.57
E00681,E00948,0.17
E00725,E00612,0.6
E00154,E01160,0.74
E00439,E00648,0.47
E00328,E01129,0.1
E01050,E00159,0.7
E00534,E00311,0.4
E00751,E00424,0.92
E00317,E00550,0.35
E00596,E00898,0.91
E00270,E00752,0.46
E00275,E00868,0.66
E01122,E01008,0.1
E00012,E01061,0.38
E00591,E01042,0.25
E00086,E00505,0.88
E00017,E00581,0.93
E00704,E00303,0.73
E00404,E00739,0.94
E00738,E00394,0.92
E00815,E00954,0.41
E00271,E00437,0.66
E01056,E01064,0.32
E00693,E00826,0.89
E00776,E00237,0.76
E00103,E00163,0.51
E00351,E00700,0.88
E00361,E00866,0.9
E00666,E00190,0.31
E00103,E00576,0.71
E00988,E00592,0.13
E00437,E00091,0.55
E00181,E00175,0.71
E00410,E00326,0.89
E00589,E00255,0.68
E00593,E01168,0.34
E00368,E00242,0.5
E00681,E00700,0.62
E00620,E00272,0.12
E00697,E00149,0.67
E00212,E00869,0.99
E01111,E00601,0.16
E00338,E00081,0.91
E00444,E00721,0.44
E00196,E01042,0.89
E00187,E00246,0.68
E01167,E00174,0.5
E00582,E00315,0.82
E00007,E01193,0.84
E00221,E00740,0.85
E00888,E00613,0.91
E00570,E00086,0.79
E00372,E00181,0.92
E00566,E00770,0.53
E00785,E01070,0.45
E00256,E00704,0.15
E00550,E00006,0.55
E00538,E00159,0.28
E00737,E00574,0.74
E00533,E00384,0.93
E00383,E00147,0.68
E00197,E00526,0.72
E00349,E00584,0.29
E00033,E00980,0.28
E00661,E00269,0.89
E00569,E00134,0.33
E00134,E00711,0.28
E00982,E01119,0.9
E00405,E00115,0.85
E00456,E00207,0.85
E00767,E00973,0.63
E00179,E00013,0.82
E01061,E00855,0.16
E01149,E00360,0.34
E00452,E00819,0.49
E00617,E00245,0.85
E00047,E00711,0.48
E00198,E00927,0.72
E00284,E00482,0.66
E00561,E00790,0.89
E00104,E00206,0.81
E01019,E00534,0.61
E00521,E00235,0.52
E00867,E01181,0.16
E00187,E00848,0.43
E00578,E00009,0.5
E00778,E00140,0.41
E00524,E00432,0.31
E00025,E00394,0.62
E00401,E00275,0.71
E00186,E00899,0.43
E00237,E00979,0.41
E00580,E00074,0.51
E00139,E01138,0.23
E00886,E00020,0.8
E01185,E00722,0.78
E00023,E00102,0.48
E00927,E00226,0.81
E00309,E00749,0.12
E00628,E00559,0.92
E00048,E00682,0.35
E00281,E01188,0.49
E00329,E00749,0.58
E01115,E00673,0.54
E01034,E00367,0.48
E01166,E00993,0.22
E00336,E01166,0.42
E00034,E00300,0.2
E00451,E00696,0.61
E00103,E00117,0.37
E01082,E00923,0.72
E00698,E00296,0.11
E00404,E00606,0.75
E00918,E00737,0.38
E00141,E00994,0.68
E00473,E00087,0.78
E00054,E00241,0.73
E00065,E00399,0.51
E00207,E01046,0.5
E00244,E00595,0.45
E00555,E00793,0.7
E00967,E00244,0.78
E01099,E00038,0.84
E00136,E00173,0.37
E01061,E00234,0.88
E00254,E00358,0.44
E00025,E00466,0.53
E00280,E01004,0.93
E00841,E00037,0.79
E00455,E01190,0.18
E00488,E00332,0.53
E00818,E00265,0.57
E00734,E00576,0.64
E00233,E00905,0.2
E00090,E00856,0.33
E00161,E00395,0.81
E00031,E00609,0.54
E00991,E00024,0.9
E00894,E00855,0.98
E00692,E01063,0.32
E00424,E00083,0.32
E00903,E00744,0.3
E00707,E00276,0.4
E00908,E00705,0.86
E00033,E00508,0.46
E00290,E00784,0.73
E00558,E00020,0.59
E01127,E00213,0.24
E00137,E00619,0.89
E00480,E00477,0.92
E00502,E00145,0.16
E00089,E01196,0.21
E01008,E00250,0.13
E00424,E00081,0.13
E00118,E00253,0.55
E00983,E00782,0.35
E00291,E00674,0.13
E01086,E00050,0.39
E00205,E00270,0.13
E01089,E01124,0.2
E00059,E00964,0.49
E00105,E00363,0.56
E00050,E00760,0.92
E00730,E01039,0.14
E00191,E01026,0.45
E00355,E00451,0.22
E00604,E00874,0.82
E00830,E01087,0.52
E00618,E01198,0.45
E00144,E00727,0.9
E00060,E00723,0.54
E00415,E00978,0.37
E00710,E00426,0.79
E00134,E00368,0.11
E01056,E00045,0.68
E00409,E00515,0.56
E00469,E00503,0.85
E00386,E01072,0.72
E00385,E00163,0.54
E00964,E00147,0.31
E00592,E01069,0.88
E00103,E00821,0.32
E00334,E00337,0.72
E00428,E01036,0.76
E01061,E00849,0.11
E01197,E00238,0.8
E00898,E00147,0.93
E00097,E00071,0.9
E00028,E00515,0.76
E01049,E00964,0.35
E00234,E01054,0.3
E00038,E00821,0.52
E00263,E00748,0.4
E00517,E01149,0.17
E01147,E00144,0.1
E00208,E00356,0.63
E01111,E00211,0.42
E01054,E00075,0.26
E01187,E01027,0.13
E00550,E00258,0.64
E00619,E00743,0.44
E01079,E00234,0.61
E00372,E00916,0.45
E00587,E00466,0.71
E00043,E00570,0.41
E00488,E00615,0.98
E00850,E00220,0.16
E00323,E00990,0.92
E01167,E00677,0.45
E00711,E00465,0.6
E00669,E01168,0.2
E00220,E00261,0.57
E01144,E00203,0.99
E00887,E00025,0.12
E00628,E00901,0.93
E00838,E00584,0.95
E00382,E01184,0.68
E00509,E00682,0.15
E01186,E00902,0.32
E01035,E00540,0.59
E00063,E00396,0.72
E00363,E00167,0.48
E00232,E00748,0.99
E01177,E01005,0.84
E01183,E00062,0.28
E00411,E00060,0.23
E00369,E00441,0.61
E00143,E00034,0.66
E01175,E00323,0.52
E01072,E00979,0.75
E00027,E00535,0.55
E00739,E00837,0.98
E00117,E00827,0.89
E00615,E00794,0.92
E00965,E00421,0.18
E01083,E01103,0.21
E00168,E00311,0.48
E00368,E00259,0.11
E00538,E00706,0.24
E00715,E00417,0.98
E00615,E00553,0.37
E00088,E01033,0.82
E00815,E00662,0.48
E00916,E00556,0.32
E00255,E01153,0.76
E00873,E00044,0.19
E00248,E00619,0.32
E01063,E00049,1.0
E00802,E00195,0.16
E01056,E00559,0.5
E00246,E00048,0.53
E00742,E00626,0.71
E00362,E00461,0.75
E00444,E00908,0.72
E00545,E00454,0.82
E00965,E00700,0.94
E00456,E00194,0.85
E00217,E00952,0.75
E00714,E00433,0.96
E00210,E00626,0.84
E01024,E00584,0.23
E00054,E00776,0.4
E00206,E00103,0.7
E00808,E00646,0.36
E00176,E00713,0.83
E01199,E00677,0.78
E00844,E00537,0.61
E00480,E00458,0.18
E00785,E00140,0.54
E00616,E00134,0.86
E00563,E00295,0.37
E00597,E00911,0.16
E00206,E00293,0.29
E00507,E00868,0.91
E00886,E00362,0.13
E00182,E00943,0.61
E01087,E00102,0.65
E00441,E00507,0.4
E00150,E00808,0.55
E01011,E00848,0.24
E00516,E01070,0.22
E01078,E01056,0.31
E00605,E00450,0.93
E00247,E00955,0.57
E00317,E00027,0.48
E00773,E00223,0.72
E00344,E00791,0.6
E00217,E00170,0.28
E00865,E00945,0.31
E00912,E00398,0.73
E00637,E00699,0.13
E01010,E00742,0.98
E00924,E00894,0.61
E01179,E00034,0.19
E01134,E00602,0.42
E00367,E00234,0.49
E00217,E00263,0.98
E00374,E00435,0.21
E00840,E01104,0.77
E01020,E01139,0.87
E00829,E00268,0.24
E00121,E00884,0.21
E00130,E00420,0.96
E00183,E00865,0.37
E00380,E00337,0.13
E00860,E00156,0.54
E00238,E00045,0.49
E00095,E00518,0.79
E00005,E01008,0.64
E00464,E01044,0.39
E00503,E01099,0.65
E00503,E00386,0.93
E00605,E00210,0.7
E00908,E00760,0.12
E00585,E00441,0.41
E00973,E00237,0.38
E00246,E00963,0.31
E00063,E00902,0.29
E00559,E00203,0.74
E00893,E00270,0.72
E00269,E00523,0.36
E00030,E00193,0.45
E00971,E00517,0.94
E00227,E00357,0.22
E00554,E01132,0.49
E00053,E00505,0.63
E00273,E00686,0.17
E00582,E00454,0.24
E00597,E00961,0.48
E00563,E00714,0.91
E00955,E00414,0.94
E00917,E00584,0.22
E00239,E00982,0.79
E00122,E00081,0.86
E00862,E01105,0.63
E00820,E01005,0.22
E00637,E01142,0.95
E00815,E00398,0.65
E01010,E01184,0.44
E00572,E00743,0.46
E00629,E00148,0.83
E00170,E00331,0.89
E01045,E00915,0.11
E01113,E01056,0.51
E00400,E00603,0.78
E01074,E00426,0.53
E00245,E00796,0.99
E00678,E00591,0.18
E00263,E00907,0.75
E00102,E00437,0.31
E00154,E00195,0.69
E00619,E00970,0.65
E00603,E00691,0.64
E00688,E00528,0.13
E00573,E00237,0.57
E00035,E01021,0.1
E00040,E00224,0.27
E00375,E00823,0.15
E00413,E00588,0.33
E00495,E00253,0.73
E00318,E00169,0.18
E00782,E01062,0.48
E00465,E01143,0.93
E00643,E00064,0.64
E00162,E00732,0.61
E00177,E00891,0.11
E00404,E00853,0.11
E00910,E00940,0.89
E00462,E00579,0.59
E00350,E00219,0.67
E00825,E00997,0.12
E00712,E00523,0.67
E00628,E00536,0.14
E01091,E00536,0.58
E00930,E00987,0.68
E01146,E00344,0.77
E00385,E00662,0.9
E00184,E00787,0.22
E00572,E00058,0.88
E00902,E00486,0.69
E00826,E00079,0.47
E00725,E01171,0.55
E01124,E01050,0.56
E00700,E00935,0.95
E00453,E01131,0.47
E00424,E00531,0.95
E00568,E01081,0.25
E00355,E00134,0.24
E00309,E00993,0.52
E00016,E00454,0.8
E01126,E00094,0.14
E00828,E00316,0.82
E00695,E00403,0.81
E00430,E00078,0.3
E00744,E00542,0.43
E00951,E01180,0.97
E00613,E01188,0.36
E00305,E00593,0.22
E00657,E01111,0.56
E00265,E00274,0.49
E00649,E00536,0.12
E01105,E00895,0.15
E00606,E01172,0.25
E00239,E00641,0.58
E01133,E00036,0.86
E00305,E00389,0.87
E00603,E01114,0.3
E00415,E00373,0.91
E00849,E00081,0.56
E00922,E00740,0.74
E01151,E00169,0.86
E00748,E00205,0.64
E00050,E00823,0.65
E00069,E00955,0.54
E00022,E00720,0.5
E00246,E00262,0.7
E00004,E01040,0.56
E01011,E01173,0.46
E00145,E00257,0.14
E00652,E00234,0.36
E00087,E00904,0.82
E00044,E00189,0.43
E00068,E00368,0.81
E00493,E00712,0.74
E00188,E00018,0.11
E00915,E01025,0.53
E00307,E00322,0.99
E00931,E00382,0.6
E01110,E00963,0.88
E00481,E00718,0.72
E01193,E00965,0.52
E00933,E00422,0.54
E00222,E00625,0.61
E00030,E00341,0.81
E00479,E00381,0.27
E00318,E00502,0.63
E00619,E00805,0.68
E00007,E01097,0.93
E01046,E00791,0.16
E00333,E00025,0.96
E01119,E00207,0.76
E00637,E00901,0.56
E00774,E00034,0.92
E00737,E00732,0.3
E00670,E00494,0.11
E00535,E00421,0.25
E00369,E01197,0.39
E00176,E00951,0.39
E00984,E00619,0.43
E00499,E01071,0.82
E00498,E00003,0.6
E01082,E01019,0.77
E00966,E00405,0.2
E00246,E00381,0.81
E00565,E00106,0.36
E00269,E00613,0.65
E01005,E00586,0.32
E00035,E00920,0.98
E00109,E01096,0.98
E00910,E00256,0.44
E00751,E00610,0.86
E01099,E00448,0.57
E00054,E00111,0.6
E00149,E00189,0.89
E00663,E00143,0.47
E00668,E00267,0.13
E00396,E00694,0.61
E00026,E01074,0.86
E00996,E01058,0.43
E00104,E00322,0.16
E00099,E00086,0.62
E01160,E00496,0.65
E00272,E00631,0.46
E00544,E00023,0.92
E00114,E00787,0.13
E00623,E00422,0.92
E00417,E00285,0.39
E01133,E00006,0.65
E01112,E00311,0.27
E00410,E00588,0.85
E00351,E00987,0.93
E00955,E00835,0.99
E00985,E00108,0.69
E00789,E00963,0.52
E00610,E00344,1.0
E00894,E01056,0.34
E01068,E01019,0.21
E01133,E00946,0.12
E00588,E01033,1.0
E00539,E00305,0.23
E00208,E00631,0.13
E00426,E00146,0.31
E00740,E00456,0.77
E01136,E01025,0.76
E01158,E01199,0.11
E00906,E00477,0.69
E00929,E00936,0.49
E00987,E00545,0.73
E00929,E00871,0.51
E00357,E00953,0.3
E00709,E00246,0.15
E00918,E00189,0.71
E00542,E00092,0.68
E00645,E00338,0.39
E00062,E00360,0.83
E00529,E00570,0.56
E00152,E00633,0.76
E00715,E00361,0.86
E00244,E00359,0.94
E01031,E00245,0.96
E00891,E01098,0.4
E00900,E00441,0.23
E00301,E00997,0.6
E01191,E00242,0.7
E00785,E00479,0.27
E00790,E00652,0.44
E00339,E00796,0.86
E00463,E00500,0.5
E00937,E00285,0.17
E00496,E00220,0.47
E00462,E01016,0.16
E01154,E00490,0.69
E01098,E00977,0.91
E00758,E00319,0.67
E00632,E00758,0.99
E00834,E00085,0.94
E00132,E00704,0.73
E00789,E00523,0.92
E00694,E00234,0.36
E01025,E01179,0.55
E00039,E00331,0.77
E00586,E01138,0.65
E00654,E00218,0.83
E00072,E00517,0.35
E01144,E01061,0.48
E00117,E00305,0.11
E00882,E00027,0.24
E01177,E00415,0.92
E00450,E00526,0.43
E00984,E00450,0.89
E00773,E00078,0.53
E00005,E01113,0.13
E00475,E00865,1.0
E01157,E00712,0.55
E00004,E00657,0.44
E00645,E00861,0.46
E01052,E00851,0.6
E00027,E00622,0.95
E00013,E01120,0.73
E00837,E00579,0.41
E01106,E01086,0.91
E00176,E00316,0.45
E01140,E01114,0.5
E00492,E00804,0.99
E00354,E00945,0.5
E00805,E00901,0.73
E00525,E00246,0.71
E00311,E00860,0.78
E00367,E00383,0.66
E00825,E00162,0.29
E00961,E00199,0.24
E00219,E00178,0.45
E00636,E00367,0.59
E00235,E01082,0.18
E00539,E00570,0.54
E01037,E00605,0.58
E00463,E00342,0.49
E00444,E00449,0.17
E00141,E00599,0.66
E00077,E00837,0.36
E01059,E00548,0.56
E00145,E00892,0.18
E00592,E00554,0.34
E00041,E00654,0.85
E01186,E00990,0.68
E00906,E00897,0.56
E00274,E00292,0.11
E00147,E00257,0.51
E00002,E00341,0.65
E00621,E00381,0.51
E00168,E00083,0.48
E00909,E00516,0.83
E01119,E00158,0.4
E00749,E00561,0.76
E00074,E00427,0.49
E00544,E00438,0.55
E00733,E00663,0.19
E00914,E00292,0.86
E00966,E00555,0.3
E00823,E00198,0.58
E01181,E00416,0.77
E00827,E00413,0.36
E00548,E00683,0.46
E00787,E00223,0.57
E00328,E00049,0.49
E01165,E00048,0.55
E01041,E00771,0.76
E00987,E00113,0.97
E00828,E00955,0.67
E00159,E00644,0.44
E00074,E00057,0.5
E00164,E00104,0.57
E00621,E00718,0.95
E01150,E00016,0.38
E00923,E00606,0.74
E00051,E00841,0.54
E00741,E00779,0.57
E00974,E00417,0.47
E00599,E00077,0.81
E00682,E01179,0.21
E01062,E00460,0.75
E00450,E01123,0.28
E00516,E00963,0.29
E00838,E01147,0.98
E00270,E01014,0.44
E00694,E00793,0.95
E00966,E00941,0.64
E00053,E00292,0.58
E00444,E00305,0.4
E00252,E00388,0.68
E00591,E00619,0.67
E00210,E00105,0.5
E00547,E00021,0.84
E00647,E00147,0.5
E00084,E00014,0.93
E01061,E00283,0.52
E00696,E00102,0.58
E01015,E00936,0.58
E00288,E00984,0.92
E00339,E00029,0.31
E00356,E00482,0.29
E01118,E00014,0.75
E00908,E01021,0.43
E00991,E00602,0.16
E00130,E00288,0.29
E00567,E00948,0.95
E00898,E01124,0.44
E00894,E00943,0.45
E00445,E00373,0.62
E00714,E00518,0.13
E00837,E01119,0.22
E01050,E00420,0.14
E00525,E00164,0.42
E00162,E00989,0.98
E00291,E00544,0.39
E00511,E01034,0.13
E00996,E01135,0.33
E00305,E00180,0.8
E00507,E00061,0.45
E01170,E00578,0.82
E00412,E01167,0.84
E00351,E00157,0.39
E00718,E00154,0.56
E00112,E00262,0.61
E00768,E00877,0.98
E00290,E01081,0.27
E00540,E00071,0.15
E00860,E00621,0.17
E01028,E00043,0.82
E00834,E01051,0.79
E00322,E00579,0.26
E00341,E01119,0.14
E01085,E00817,0.19
E00942,E01187,0.53
E00110,E00045,0.2
E00032,E00869,0.58
E00640,E01104,0.78
E00939,E00201,0.27
E00811,E01007,0.61
E01022,E00023,0.36
E01015,E00207,0.46
E00343,E00491,0.83
E00580,E00920,0.87
E00143,E00084,0.18
E01086,E00505,0.68
E00307,E00595,0.25
E01042,E00861,0.72
E00289,E00771,0.87
E00132,E00775,0.51
E00078,E00450,0.9
E01066,E01004,0.56
E00796,E00062,0.62
E00187,E01157,0.55
E01108,E00374,0.23
E01197,E01047,0.37
E00829,E00397,0.24
E00799,E01170,0.28
